Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
380,0.504081332,1.898360237,0.036863068,1.410608829,darkblue,HLH502,380,freshwater,-1.147156991
381,0.504081332,1.328488971,0.185537151,1.317234192,darkblue,HLH502,381,freshwater,-1.147156991
382,0.504081332,0.68390381,0.027669654,1.427184325,darkblue,HLH502,382,freshwater,-1.147156991
383,0.504081332,1.478991361,0.011280282,1.479028923,darkblue,HLH503,383,freshwater,-1.147156991
384,0.504081332,1.237362705,0.039787122,1.406198323,darkblue,HLH503,384,freshwater,-1.147156991
385,0.504081332,2.117772815,0.036601512,1.411020258,darkblue,HLH503,385,freshwater,-1.147156991
386,0.504081332,1.133744994,0.083712933,1.363218861,darkblue,HLH503,386,freshwater,-1.147156991
387,0.504081332,1.257516328,0.153744726,1.328094558,darkblue,HLH504,387,freshwater,-1.147156991
388,0.504081332,0.712394153,0.008166411,1.497693316,darkblue,HLH504,388,freshwater,-1.147156991
389,0.504081332,0.596747649,0.021260982,1.44240713,darkblue,HLH504,389,freshwater,-1.147156991
390,0.504081332,1.300951405,0.015064764,1.462313117,darkblue,HLH504,390,freshwater,-1.147156991
391,0.504081332,0.006422972,0.296416001,1.290163884,darkblue,HLH505,391,freshwater,-1.147156991
392,0.504081332,1.423413287,0.122564448,1.341190715,darkblue,HLH505,392,freshwater,-1.147156991
393,0.504081332,0.64315314,0.009984683,1.486078281,darkblue,HLH505,393,freshwater,-1.147156991
394,0.504081332,-0.010454053,0.135036019,1.335591596,darkblue,HLH505,394,freshwater,-1.147156991
495,0.454082725,2.047692843,0.04720777,1.396317111,darkblue,HLH613,495,freshwater,-1.181185453
516,3.614062155,0.42450101,0.035897062,1.412143154,darkblue,HLH629,516,freshwater,0.969459281
517,3.614062155,-0.040775313,0.024252644,1.434800308,darkblue,HLH629,517,freshwater,0.969459281
518,3.614062155,0.184352653,0.049847481,1.393173347,darkblue,HLH629,518,freshwater,0.969459281
519,3.614062155,-0.442530886,0.053721878,1.388848398,darkblue,HLH629,519,freshwater,0.969459281
520,3.614062155,0.021994779,0.037171358,1.41012762,darkblue,HLH629,520,freshwater,0.969459281
521,3.614062155,-0.059392426,0.080801705,1.365263999,darkblue,HLH629,521,freshwater,0.969459281
522,3.614062155,0.58901859,0.023915819,1.435608387,darkblue,HLH629,522,freshwater,0.969459281
523,3.614062155,-0.196539754,0.143964243,1.331892341,darkblue,HLH629,523,freshwater,0.969459281
524,3.614062155,0.72486092,0.025510708,1.431878235,darkblue,HLH630,524,freshwater,0.969459281
525,3.614062155,0.365135493,0.109216884,1.347852795,darkblue,HLH630,525,freshwater,0.969459281
526,3.614062155,0.961324162,0.035784753,1.41232421,darkblue,HLH630,526,freshwater,0.969459281
527,3.614062155,0.307093402,0.011130624,1.479800631,darkblue,HLH630,527,freshwater,0.969459281
528,3.614062155,0.298492422,0.010778552,1.481657785,darkblue,HLH631,528,freshwater,0.969459281
529,3.614062155,0.367785126,0.057087763,1.385337155,darkblue,HLH631,529,freshwater,0.969459281
530,3.614062155,0.291007064,0.157161432,1.326824565,darkblue,HLH631,530,freshwater,0.969459281
531,3.614062155,0.185550245,0.050805588,1.392073314,darkblue,HLH631,531,freshwater,0.969459281
532,4.145719188,-0.342560261,0.091593399,1.358020666,darkblue,HLH632,532,freshwater,1.331298788
533,4.145719188,-0.199549778,0.05384815,1.388712747,darkblue,HLH632,533,freshwater,1.331298788
534,4.145719188,0.469397367,0.350763089,1.280436831,darkblue,HLH632,534,freshwater,1.331298788
535,4.145719188,-0.29587076,0.095844748,1.355399173,darkblue,HLH632,535,freshwater,1.331298788
536,4.145719188,-0.115714837,0.247257456,1.300641299,darkblue,HLH632,536,freshwater,1.331298788
537,4.145719188,-0.385595016,0.180647225,1.318777433,darkblue,HLH632,537,freshwater,1.331298788
538,4.145719188,0.820823326,0.240438774,1.302257089,darkblue,HLH632,538,freshwater,1.331298788
539,4.145719188,-1.270087277,0.282190191,1.293005641,darkblue,HLH632,539,freshwater,1.331298788
540,4.145719188,1.171525315,0.435124829,1.267984034,darkblue,HLH633,540,freshwater,1.331298788
541,4.145719188,0.295245434,0.046569221,1.397103993,darkblue,HLH633,541,freshwater,1.331298788
542,4.145719188,2.138696863,0.109004993,1.347965002,darkblue,HLH633,542,freshwater,1.331298788
543,4.145719188,-0.144140995,0.085174496,1.362218777,darkblue,HLH633,543,freshwater,1.331298788
