Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
265,1000,0.818181818,0.062622823,0.031580923,darkgreen,1.008457933,m1_165,T,0.561405875
266,1001,0.636363636,-0.140125379,0.019445745,darkgreen,1.014002391,m1_165,T,-0.286453672
267,1010,0.833333333,-0.305291191,0.261924945,darkgreen,1.000644576,m1_165,T,0.632060837
268,1011,0.666666667,-0.116943378,0.197566893,darkgreen,1.000993535,m1_165,T,-0.145143744
269,1012,0.333333333,-0.054645344,0.120395587,darkgreen,1.001903854,m1_165,T,-1.699552916
270,1013,0.916666667,-0.621975243,0.561382888,darkgreen,1.000073147,m1_165,T,1.020663132
271,1014,0.833333333,-1.335036145,0.082045678,darkgreen,1.002993186,m1_165,T,0.632060837
272,1015,0.333333333,-0.569384717,0.041287441,darkgreen,1.006369199,m1_165,T,-1.699552916
273,1016,0.666666667,-0.607907826,0.096202964,darkgreen,1.00248992,m1_165,T,-0.145143744
274,1017,0.916666667,-0.980494204,0.091985277,darkgreen,1.00262365,m1_165,T,1.020663132
275,1018,0.666666667,-0.457524983,0.185795,darkgreen,1.001083518,m1_165,T,-0.145143744
276,1019,0.333333333,-0.277177287,0.172997166,darkgreen,1.001195237,m1_165,T,-1.699552916
277,1020,0.833333333,-0.878743075,0.208599298,darkgreen,1.000918424,m1_165,T,0.632060837
278,1021,0.916666667,-1.434852144,0.161156785,darkgreen,1.0013144,m1_165,T,1.020663132
279,1026,0.9375,-0.056037646,0.151757504,darkgreen,1.001422234,m1_165,T,1.117813703
280,1027,0.96875,-0.344923315,0.173463579,darkgreen,1.001190876,m1_165,T,1.263539563
281,1028,0.75,-0.007856673,0.161128931,darkgreen,1.001314701,m1_165,T,0.243458546
282,1029,0.875,-0.333934682,0.163075679,darkgreen,1.001293913,m1_165,T,0.826361984
283,1030,0.75,-0.430786815,0.053243352,darkgreen,1.004843174,m1_165,T,0.243458546
284,1031,0.875,-0.309123203,0.024285089,darkgreen,1.011127082,m1_165,T,0.826361984
285,1032,0.9375,-0.711072361,0.051777734,darkgreen,1.004992342,m1_165,T,1.117813703
286,1033,0.96875,-0.935114675,0.046057104,darkgreen,1.005665422,m1_165,T,1.263539563
287,1034,0.96875,-1.244569297,0.017437622,darkgreen,1.015664046,m1_165,T,1.263539563
