Unit_ID,X.1,X,LRR,var.LRR,Study,dist.inv,scale,col,row.ID,pr.st
130,732,-3.526360525,1.313839282,0.474884482,m6_5_122,-2.397895273,1.384833052,darkgreen,1952,-1.413428863
131,733,-2.302585093,1.375483445,0.309626145,m6_5_122,-2.48490665,1.443101453,darkgreen,1953,-0.382562015
132,734,-3.33220451,-0.102422423,0.080107635,m6_5_122,-2.48490665,1.627290015,darkgreen,1954,-1.249878433
133,735,-3.526360525,-1.191026288,0.134380857,m6_5_122,-2.397895273,1.556814873,darkgreen,1955,-1.413428863
134,736,-2.302585093,-1.719996164,0.472313071,m6_5_122,-2.48490665,1.385572742,darkgreen,1956,-0.382562015
135,737,-3.33220451,0.225832711,0.137480934,m6_5_122,-2.48490665,1.553707732,darkgreen,1957,-1.249878433
136,738,-3.526360525,-0.060548125,0.197837494,m6_5_122,-2.397895273,1.504123652,darkgreen,1958,-1.413428863
137,739,-2.302585093,-1.392433116,0.247766828,m6_5_122,-2.48490665,1.473465102,darkgreen,1959,-0.382562015
138,740,-3.33220451,-0.079736543,0.030930577,m6_5_122,-2.48490665,1.756934495,darkgreen,1960,-1.249878433
139,741,-3.526360525,-0.337732873,0.059558558,m6_5_122,-2.397895273,1.667671504,darkgreen,1961,-1.413428863
140,742,-2.302585093,-0.241018903,0.057290998,m6_5_122,-2.48490665,1.672959656,darkgreen,1962,-0.382562015
141,751,-2.48490665,-0.231229497,0.039237593,m6_5_123,-0.832909123,1.724525614,darkgreen,1979,-0.536143501
142,755,-2.48490665,-2.51999797,0.137424583,m6_5_123,-1.16315081,1.553763584,darkgreen,1987,-0.536143501
143,786,-0.287682072,-0.650587566,8.005238485,m6_5_128,-2.833213344,1,darkgreen,2028,1.314723836
144,787,-0.287682072,0.16034265,7.795111061,m6_5_128,-2.833213344,1.00362376,darkgreen,2029,1.314723836
145,788,-0.287682072,0.349985956,4.358439258,m6_5_128,-2.833213344,1.082828265,darkgreen,2030,1.314723836
146,789,-0.287682072,-2.128231706,1.045918359,m6_5_128,-2.833213344,1.277264987,darkgreen,2031,1.314723836
147,790,-0.287682072,-0.86081158,0.141319768,m6_5_128,-2.833213344,1.549955838,darkgreen,2032,1.314723836
148,791,-0.287682072,-0.226124179,0.191548382,m6_5_128,-2.833213344,1.508524787,darkgreen,2033,1.314723836
149,792,-0.287682072,0.484508315,0.086841643,m6_5_128,-2.833213344,1.616293818,darkgreen,2034,1.314723836
