Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
1032,1.531726074,9.37E-09,0.062611295,1.380000855,darkgreen,m2_2_JTN079,1032,terrestrial,1.564690073
1033,1.531726074,-0.024097514,0.033075584,1.416873008,darkgreen,m2_2_JTN080,1033,terrestrial,1.564690073
1034,1.129350827,0.830410894,0.048675915,1.394547558,darkgreen,m2_2_JTN081,1034,terrestrial,1.15272838
1035,1.129350827,0.807652766,0.011195407,1.479465311,darkgreen,m2_2_JTN082,1035,terrestrial,1.15272838
1036,1.129350827,0.241647289,0.014988191,1.462607556,darkgreen,m2_2_JTN083,1036,terrestrial,1.15272838
1037,1.129350827,0.384805594,0.052503182,1.390174242,darkgreen,m2_2_JTN084,1037,terrestrial,1.15272838
1038,1.129350827,0.453377198,0.010895044,1.481036664,darkgreen,m2_2_JTN085,1038,terrestrial,1.15272838
1039,1.129350827,0.870277251,0.003416965,1.548035451,darkgreen,m2_2_JTN086,1039,terrestrial,1.15272838
1040,0.841664852,0.54235393,0.02873671,1.424997992,darkgreen,m2_2_JTN087,1040,terrestrial,0.858188389
1041,0.841664852,1.059377408,0.051152152,1.391680516,darkgreen,m2_2_JTN088,1041,terrestrial,0.858188389
1042,0.841664852,0.7845929,0.019334723,1.447894525,darkgreen,m2_2_JTN089,1042,terrestrial,0.858188389
1043,0.841664852,0.929226894,0.004734927,1.529186917,darkgreen,m2_2_JTN090,1043,terrestrial,0.858188389
1044,0.841664852,0.590582152,0.035333318,1.413057754,darkgreen,m2_2_JTN091,1044,terrestrial,0.858188389
1047,0.769424221,0.082237961,0.00603537,1.515165462,darkcyan,m2_2_JTN095,1047,marine,0.784226651
1048,0.769424221,0.092373148,0.001256841,1.605823913,darkcyan,m2_2_JTN095,1048,marine,0.784226651
1132,-0.967874279,1.070513484,0.000581661,1.650341452,darkcyan,m2_2_MEB194,1132,marine,-0.994462366
1133,-0.983054796,1.107660865,0.00150267,1.59550203,darkcyan,m2_2_MEB195,1133,marine,-1.010004553
1134,-0.98609219,1.54297135,0.001414259,1.599005654,darkcyan,m2_2_MEB196,1134,marine,-1.013114312
1135,-0.967874279,0.693147181,0.003892734,1.540503352,darkcyan,m2_2_MEB194a,1135,marine,-0.994462366
1136,-0.983054796,1.033015006,0.013792072,1.467413017,darkcyan,m2_2_MEB195a,1136,marine,-1.010004553
1164,1.284233109,1.475171496,0.032188458,1.41844389,darkgreen,m2_2_WSH011,1164,terrestrial,1.311300676
1186,1.499706813,0.131337066,0.081904095,1.364481031,darkgreen,m2_2_WSH053,1186,terrestrial,1.531907965
