Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study,System
26,54,2.079441542,-0.693147181,0.817901235,darkblue,1.015266582,-0.057645198,m16_1_Douglass&&2007,M
27,65,4.947660495,-0.750628505,0.272815371,darkblue,1.006159919,0.133805757,m16_1_Baden&&2010,M
28,66,4.947660495,5.217083474,0.55070767,darkblue,1.011205165,0.133805757,m16_1_Baden&&2010,M
29,67,4.947660495,4.271869325,0.538424339,darkblue,1.011001989,0.133805757,m16_1_Baden&&2010,M
30,68,4.947660495,0.575363528,0.400939737,darkblue,1.00861029,0.133805757,m16_1_Baden&&2010,M
31,69,4.947660495,4.691782687,0.684166896,darkblue,1.013314408,0.133805757,m16_1_Baden&&2010,M
32,70,4.947660495,2.863033035,1.557641516,darkblue,1.023988784,0.133805757,m16_1_Baden&&2010,M
33,71,4.947660495,1.626352081,0.182928335,darkblue,1.004288819,0.133805757,m16_1_Baden&&2010,M
34,72,4.947660495,1.479995818,0.976389536,darkblue,1.017402125,0.133805757,m16_1_Baden&&2010,M
35,73,4.947660495,0.731017561,0.032826902,darkblue,1.000822108,0.133805757,m16_1_Baden&&2010,M
36,74,4.947660495,0.419655776,0.289474907,darkblue,1.006492142,0.133805757,m16_1_Baden&&2010,M
37,75,4.947660495,3.186648423,0.123051803,darkblue,1.002961768,0.133805757,m16_1_Baden&&2010,M
38,76,4.947660495,1.390351383,0.297908004,darkblue,1.006658682,0.133805757,m16_1_Baden&&2010,M
39,77,4.947660495,-4.409482387,1.212182267,darkblue,1.020281597,0.133805757,m16_1_Baden&&2010,M
40,78,4.947660495,0.858191615,0.038944032,darkblue,1.000972976,0.133805757,m16_1_Baden&&2010,M
41,79,4.947660495,2.035362078,0.249151589,darkblue,1.005680466,0.133805757,m16_1_Baden&&2010,M
42,80,4.947660495,-4.010153564,0.512662918,darkblue,1.010570555,0.133805757,m16_1_Baden&&2010,M
43,81,4.947660495,-0.385126824,0.099440297,darkblue,1.002418907,0.133805757,m16_1_Baden&&2010,M
44,82,4.947660495,0.772240789,0.094940636,darkblue,1.002314132,0.133805757,m16_1_Baden&&2010,M
45,94,5.438079309,-0.693147181,0.0725,darkblue,1.001785087,0.166540759,m16_1_Moksnes&&,M
46,95,5.438079309,-2.302585093,0.0725,darkblue,1.001785087,0.166540759,m16_1_Moksnes&&,M
